version,releaseDate,bugFixes,newFeatures,breakingChanges
7.2.0,2017-10-14,0,0,1
7.1.1,2017-9-17,1,1,0
7.1.0,2017-9-15,0,0,1
7.0.0,2017-9-14,0,0,7
6.1.3,2017-9-8,0,1,0
6.1.2,2017-9-6,1,0,0
6.1.1,2017-8-27,0,1,0
6.1.0,2017-8-25,1,2,0
6.0.0,2017-8-24,1,0,3
5.7.0,2017-8-24,0,2,0
5.6.2,2017-8-20,1,0,0
5.6.1,2017-8-20,1,0,0
5.6.0,2017-8-18,0,1,1
5.5.0,2017-8-8,0,1,0
5.4.0,2017-8-8,0,0,1
5.3.0,2017-8-3,0,1,0
5.2.0,2017-8-1,0,1,0
5.1.0,2017-7-25,0,1,0
5.0.1,2017-7-24,1,0,0
5.0.0,2017-7-24,0,0,12
4.1.2,2017-6-26,0,1,0
4.1.1,2017-6-26,1,0,0
4.1.0,2017-6-20,0,0,1
4.0.3,2017-6-20,1,0,0
4.0.2,2017-6-20,1,0,0
4.0.1,2017-6-20,0,1,0
4.0.0,2017-6-18,0,2,2
3.10.0,2017-6-17,0,1,1
3.9.2,2017-6-17,0,1,0
3.9.1,2017-6-17,0,1,0
3.9.0,2017-6-16,0,0,2
3.8.0,2017-6-15,0,1,0
3.7.4,2017-6-15,1,0,0
3.7.3,2017-6-15,1,0,0
3.7.2,2017-6-15,1,0,0
3.7.1,2017-6-15,1,0,0
3.7.0,2017-6-15,1,1,3
3.6.0,2017-6-15,0,1,2
3.5.3,2017-6-14,1,2,0
3.5.2,2017-6-13,0,1,0
3.5.1,2017-6-13,0,1,0
3.5.0,2017-6-9,0,0,1
3.4.0,2017-6-6,0,0,1
3.3.0,2017-6-5,0,0,2
3.2.1,2017-6-5,0,1,0
3.2.0,2017-6-5,0,2,2
3.1.1,2017-6-2,1,0,0
3.1.0,2017-6-1,0,1,1
3.0.1,2017-5-30,0,1,0
3.0.0,2017-5-30,1,1,25
2.3.0,2017-5-9,0,0,2
2.2.4,2017-4-28,1,0,0
2.2.3,2017-4-28,0,4,0
2.2.2,2017-4-17,0,1,0
2.2.1,2017-4-17,0,1,0
2.2.0,2017-4-17,0,0,1
2.1.1,2017-4-16,1,0,0
2.1.0,2017-4-13,0,0,1
2.0.3,2017-4-05,0,1,0
2.0.2,2017-4-05,1,0,0
2.0.1,2017-4-05,1,0,0
2.0.0,2017-4-05,0,2,13
1.2.2,2017-4-02,0,1,0
1.2.1,2017-3-31,0,0,1
1.1.1,2017-3-26,0,0,1
1.0.7,2017-3-25,0,1,0
1.0.6,2017-3-19,0,1,0
1.0.5,2017-3-17,1,0,0
1.0.4,2017-3-17,1,0,0
1.0.3,2017-3-15,0,1,0
1.0.2,2017-3-02,0,1,0
